Brand,Model,Year,Kilometers,Condition,Trim,Price
Toyota,Corolla,2023,15000,Used,First,1100000
Toyota,Corolla,2022,30000,Used,Second,950000
Toyota,Corolla,2021,45000,Used,Medium,850000
Toyota,Camry,2023,10000,Used,First,1700000
Toyota,Camry,2021,50000,Used,Second,1350000
Hyundai,Elantra,2023,12000,Used,First,1150000
Hyundai,Elantra,2022,25000,Used,Second,980000
Hyundai,Elantra,2021,40000,Used,Medium,850000
Hyundai,Tucson,2023,10000,Used,First,1650000
Hyundai,Tucson,2022,30000,Used,Second,1450000
Kia,Sportage,2023,15000,Used,First,1800000
Kia,Sportage,2022,30000,Used,Second,1600000
Kia,Cerato,2022,25000,Used,Medium,900000
Kia,Cerato,2021,45000,Used,Second,800000
BMW,320i,2023,10000,Used,First,2800000
BMW,320i,2021,40000,Used,Second,2200000
BMW,X3,2022,25000,Used,First,3200000
Mercedes,C180,2023,10000,Used,First,3000000
Mercedes,C180,2021,45000,Used,Second,2300000
Nissan,Sunny,2023,20000,Used,First,750000
Nissan,Sunny,2021,50000,Used,Second,600000
